"id","duration_seconds","duration_POSIX","start_date","start_station","start_station_id","end_date","end_station","end_station_id","bike_id","subscription_type","zip_code"
139945,73,1969-12-31 19:01:13,2014-01-01 17:57:00,"5th at Howard","57",2014-01-01 17:59:00,"5th at Howard","57",509,"Subscriber","94103"
139967,160,1969-12-31 19:02:40,2014-01-01 19:11:00,"California Ave Caltrain Station","36",2014-01-01 19:13:00,"California Ave Caltrain Station","36",51,"Customer","6877"
140179,63,1969-12-31 19:01:03,2014-01-02 08:32:00,"2nd at Folsom","62",2014-01-02 08:33:00,"2nd at Folsom","62",632,"Subscriber","94107"
140429,126,1969-12-31 19:02:06,2014-01-02 11:49:00,"San Francisco Caltrain (Townsend at 4th)","70",2014-01-02 11:51:00,"San Francisco Caltrain (Townsend at 4th)","70",321,"Customer","61801"
140484,114,1969-12-31 19:01:54,2014-01-02 12:49:00,"Harry Bridges Plaza (Ferry Building)","50",2014-01-02 12:51:00,"Harry Bridges Plaza (Ferry Building)","50",407,"Subscriber","94131"
140715,69,1969-12-31 19:01:09,2014-01-02 16:25:00,"Mountain View City Hall","27",2014-01-02 16:26:00,"Mountain View City Hall","27",98,"Subscriber","94102"
140734,64,1969-12-31 19:01:04,2014-01-02 16:32:00,"South Van Ness at Market","66",2014-01-02 16:33:00,"South Van Ness at Market","66",525,"Subscriber","94612"
141227,123,1969-12-31 19:02:03,2014-01-03 08:02:00,"South Van Ness at Market","66",2014-01-03 08:04:00,"South Van Ness at Market","66",368,"Customer","94114"
141388,66,1969-12-31 19:01:06,2014-01-03 09:15:00,"Powell Street BART","39",2014-01-03 09:16:00,"Powell Street BART","39",424,"Subscriber","94116"
142332,64,1969-12-31 19:01:04,2014-01-04 10:02:00,"Mechanics Plaza (Market at Battery)","75",2014-01-04 10:03:00,"Mechanics Plaza (Market at Battery)","75",573,"Subscriber","94105"
143075,135,1969-12-31 19:02:15,2014-01-05 16:23:00,"Mountain View Caltrain Station","28",2014-01-05 16:26:00,"Mountain View Caltrain Station","28",161,"Subscriber","94040"
143707,64,1969-12-31 19:01:04,2014-01-06 11:18:00,"Embarcadero at Folsom","51",2014-01-06 11:19:00,"Embarcadero at Folsom","51",430,"Subscriber","94109"
144838,108,1969-12-31 19:01:48,2014-01-07 08:47:00,"San Francisco Caltrain (Townsend at 4th)","70",2014-01-07 08:49:00,"San Francisco Caltrain (Townsend at 4th)","70",481,"Subscriber","95014"
145292,152,1969-12-31 19:02:32,2014-01-07 15:32:00,"Mountain View City Hall","27",2014-01-07 15:35:00,"Mountain View City Hall","27",136,"Subscriber","94105"
146812,148,1969-12-31 19:02:28,2014-01-08 17:24:00,"Embarcadero at Sansome","60",2014-01-08 17:26:00,"Embarcadero at Sansome","60",427,"Customer",NA
147756,121,1969-12-31 19:02:01,2014-01-09 12:05:00,"Embarcadero at Sansome","60",2014-01-09 12:07:00,"Embarcadero at Sansome","60",391,"Customer","46074"
147842,90,1969-12-31 19:01:30,2014-01-09 13:09:00,"Mechanics Plaza (Market at Battery)","75",2014-01-09 13:10:00,"Mechanics Plaza (Market at Battery)","75",515,"Subscriber","94117"
148495,71,1969-12-31 19:01:11,2014-01-09 19:26:00,"Howard at 2nd","63",2014-01-09 19:27:00,"Howard at 2nd","63",545,"Subscriber","94111"
148593,86,1969-12-31 19:01:26,2014-01-09 22:08:00,"Townsend at 7th","65",2014-01-09 22:09:00,"Townsend at 7th","65",314,"Subscriber","94103"
148609,68,1969-12-31 19:01:08,2014-01-09 23:20:00,"Howard at 2nd","63",2014-01-09 23:21:00,"Howard at 2nd","63",396,"Subscriber","94158"
150138,105,1969-12-31 19:01:45,2014-01-11 13:57:00,"Embarcadero at Sansome","60",2014-01-11 13:59:00,"Embarcadero at Sansome","60",426,"Customer",NA
150244,75,1969-12-31 19:01:15,2014-01-11 18:53:00,"2nd at Townsend","61",2014-01-11 18:54:00,"2nd at Townsend","61",627,"Subscriber","94044"
151208,178,1969-12-31 19:02:58,2014-01-13 09:16:00,"San Francisco Caltrain 2 (330 Townsend)","69",2014-01-13 09:19:00,"San Francisco Caltrain 2 (330 Townsend)","69",427,"Subscriber","94107"
151489,73,1969-12-31 19:01:13,2014-01-13 12:43:00,"2nd at South Park","64",2014-01-13 12:44:00,"2nd at South Park","64",335,"Subscriber","94158"
151958,107,1969-12-31 19:01:47,2014-01-13 18:10:00,"2nd at Folsom","62",2014-01-13 18:12:00,"2nd at Folsom","62",372,"Subscriber","94102"
153060,110,1969-12-31 19:01:50,2014-01-14 16:12:00,"San Jose Diridon Caltrain Station","2",2014-01-14 16:14:00,"San Jose Diridon Caltrain Station","2",108,"Customer","38478"
153181,111,1969-12-31 19:01:51,2014-01-14 17:05:00,"Market at 10th","67",2014-01-14 17:06:00,"Market at 10th","67",569,"Subscriber","94109"
153206,128,1969-12-31 19:02:08,2014-01-14 17:13:00,"Embarcadero at Vallejo","48",2014-01-14 17:15:00,"Embarcadero at Vallejo","48",361,"Subscriber","94107"
153280,62,1969-12-31 19:01:02,2014-01-14 17:39:00,"Yerba Buena Center of the Arts (3rd @ Howard)","68",2014-01-14 17:40:00,"Yerba Buena Center of the Arts (3rd @ Howard)","68",505,"Subscriber","94044"
154409,166,1969-12-31 19:02:46,2014-01-15 14:28:00,"Harry Bridges Plaza (Ferry Building)","50",2014-01-15 14:31:00,"Harry Bridges Plaza (Ferry Building)","50",353,"Subscriber","94556"
154445,172,1969-12-31 19:02:52,2014-01-15 15:13:00,"Grant Avenue at Columbus Avenue","73",2014-01-15 15:16:00,"Grant Avenue at Columbus Avenue","73",573,"Customer","95762"
155376,82,1969-12-31 19:01:22,2014-01-16 08:51:00,"Mountain View City Hall","27",2014-01-16 08:52:00,"Mountain View City Hall","27",662,"Subscriber","94102"
155643,116,1969-12-31 19:01:56,2014-01-16 11:24:00,"San Jose Diridon Caltrain Station","2",2014-01-16 11:26:00,"San Jose Diridon Caltrain Station","2",175,"Customer",NA
155761,124,1969-12-31 19:02:04,2014-01-16 12:53:00,"Powell Street BART","39",2014-01-16 12:55:00,"Powell Street BART","39",400,"Subscriber","94117"
156239,85,1969-12-31 19:01:25,2014-01-16 18:00:00,"Embarcadero at Folsom","51",2014-01-16 18:02:00,"Embarcadero at Folsom","51",375,"Subscriber","95014"
156344,127,1969-12-31 19:02:07,2014-01-16 18:38:00,"Market at 4th","76",2014-01-16 18:40:00,"Market at 4th","76",517,"Subscriber","94107"
157057,74,1969-12-31 19:01:14,2014-01-17 11:37:00,"South Van Ness at Market","66",2014-01-17 11:38:00,"South Van Ness at Market","66",427,"Customer","94105"
157297,154,1969-12-31 19:02:34,2014-01-17 15:23:00,"Yerba Buena Center of the Arts (3rd @ Howard)","68",2014-01-17 15:25:00,"Yerba Buena Center of the Arts (3rd @ Howard)","68",330,"Customer",NA
157594,124,1969-12-31 19:02:04,2014-01-17 17:36:00,"Washington at Kearney","46",2014-01-17 17:38:00,"Washington at Kearney","46",367,"Customer","97816"
157847,62,1969-12-31 19:01:02,2014-01-17 21:29:00,"San Francisco Caltrain (Townsend at 4th)","70",2014-01-17 21:30:00,"San Francisco Caltrain (Townsend at 4th)","70",383,"Subscriber","94002"
157986,95,1969-12-31 19:01:35,2014-01-18 10:56:00,"Civic Center BART (7th at Market)","72",2014-01-18 10:58:00,"Civic Center BART (7th at Market)","72",556,"Customer","94704"
158111,111,1969-12-31 19:01:51,2014-01-18 12:57:00,"Embarcadero at Vallejo","48",2014-01-18 12:58:00,"Embarcadero at Vallejo","48",350,"Customer","92882"
158872,97,1969-12-31 19:01:37,2014-01-19 16:10:00,"San Jose Civic Center","3",2014-01-19 16:11:00,"San Jose Civic Center","3",643,"Customer",NA
159323,67,1969-12-31 19:01:07,2014-01-20 11:56:00,"Market at 10th","67",2014-01-20 11:57:00,"Market at 10th","67",424,"Customer","94103"
159739,62,1969-12-31 19:01:02,2014-01-20 18:38:00,"2nd at Folsom","62",2014-01-20 18:39:00,"2nd at Folsom","62",260,"Subscriber","94105"
160325,88,1969-12-31 19:01:28,2014-01-21 10:05:00,"San Francisco Caltrain (Townsend at 4th)","70",2014-01-21 10:07:00,"San Francisco Caltrain (Townsend at 4th)","70",284,"Subscriber","94301"
160479,60,1969-12-31 19:01:00,2014-01-21 13:01:00,"2nd at Townsend","61",2014-01-21 13:02:00,"2nd at Townsend","61",320,"Subscriber","94115"
160856,71,1969-12-31 19:01:11,2014-01-21 17:26:00,"Redwood City Caltrain Station","22",2014-01-21 17:27:00,"Redwood City Caltrain Station","22",215,"Subscriber","94043"
160925,101,1969-12-31 19:01:41,2014-01-21 17:54:00,"Davis at Jackson","42",2014-01-21 17:56:00,"Davis at Jackson","42",627,"Subscriber","94111"
161966,85,1969-12-31 19:01:25,2014-01-22 14:09:00,"Howard at 2nd","63",2014-01-22 14:10:00,"Howard at 2nd","63",329,"Subscriber","94117"
162375,118,1969-12-31 19:01:58,2014-01-22 18:19:00,"2nd at South Park","64",2014-01-22 18:21:00,"2nd at South Park","64",292,"Subscriber","94608"
162797,83,1969-12-31 19:01:23,2014-01-23 08:07:00,"2nd at South Park","64",2014-01-23 08:09:00,"2nd at South Park","64",520,"Subscriber","94107"
163324,111,1969-12-31 19:01:51,2014-01-23 12:32:00,"Market at Sansome","77",2014-01-23 12:34:00,"Market at Sansome","77",529,"Subscriber","94115"
163932,170,1969-12-31 19:02:50,2014-01-23 18:31:00,"San Francisco Caltrain 2 (330 Townsend)","69",2014-01-23 18:34:00,"San Francisco Caltrain 2 (330 Townsend)","69",627,"Subscriber","94102"
164656,135,1969-12-31 19:02:15,2014-01-24 11:23:00,"California Ave Caltrain Station","36",2014-01-24 11:26:00,"California Ave Caltrain Station","36",165,"Customer","5401"
164657,82,1969-12-31 19:01:22,2014-01-24 11:23:00,"California Ave Caltrain Station","36",2014-01-24 11:25:00,"California Ave Caltrain Station","36",298,"Customer","5401"
164720,131,1969-12-31 19:02:11,2014-01-24 12:23:00,"South Van Ness at Market","66",2014-01-24 12:25:00,"South Van Ness at Market","66",574,"Subscriber","94117"
165284,176,1969-12-31 19:02:56,2014-01-24 18:31:00,"San Francisco Caltrain (Townsend at 4th)","70",2014-01-24 18:34:00,"San Francisco Caltrain (Townsend at 4th)","70",499,"Subscriber","94105"
165305,74,1969-12-31 19:01:14,2014-01-24 18:44:00,"2nd at South Park","64",2014-01-24 18:45:00,"2nd at South Park","64",384,"Customer","94114"
165599,64,1969-12-31 19:01:04,2014-01-25 10:39:00,"Broadway St at Battery St","82",2014-01-25 10:41:00,"Broadway St at Battery St","82",335,"Subscriber","94133"
165696,86,1969-12-31 19:01:26,2014-01-25 12:19:00,"Washington at Kearney","46",2014-01-25 12:20:00,"Washington at Kearney","46",600,"Customer","57106"
166129,74,1969-12-31 19:01:14,2014-01-26 09:36:00,"Yerba Buena Center of the Arts (3rd @ Howard)","68",2014-01-26 09:37:00,"Yerba Buena Center of the Arts (3rd @ Howard)","68",621,"Customer","60654"
169232,168,1969-12-31 19:02:48,2014-01-28 21:30:00,"Harry Bridges Plaza (Ferry Building)","50",2014-01-28 21:33:00,"Harry Bridges Plaza (Ferry Building)","50",575,"Subscriber","94107"
169559,99,1969-12-31 19:01:39,2014-01-29 08:46:00,"Temporary Transbay Terminal (Howard at Beale)","55",2014-01-29 08:48:00,"Temporary Transbay Terminal (Howard at Beale)","55",598,"Subscriber","94609"
