"id","duration_seconds","duration_POSix","start_date","start_station","start_station_id","end_date","end_station","end_station_id","bike_id","subscription_type","zip_code"
139745,154,1969-12-31 19:02:34,2014-01-01 13:15:00,"2nd at Folsom","62",2014-01-01 13:17:00,"Howard at 2nd","63",318,"Subscriber","94103"
139815,102,1969-12-31 19:01:42,2014-01-01 14:40:00,"2nd at South Park","64",2014-01-01 14:42:00,"2nd at Townsend","61",417,"Subscriber","94107"
140015,104,1969-12-31 19:01:44,2014-01-02 04:38:00,"Howard at 2nd","63",2014-01-02 04:40:00,"Market at Sansome","77",563,"Subscriber","94105"
140033,139,1969-12-31 19:02:19,2014-01-02 06:42:00,"Clay at Battery","41",2014-01-02 06:45:00,"Mechanics Plaza (Market at Battery)","75",636,"Subscriber","94115"
140087,166,1969-12-31 19:02:46,2014-01-02 07:50:00,"Clay at Battery","41",2014-01-02 07:53:00,"Mechanics Plaza (Market at Battery)","75",382,"Subscriber","94102"
140143,84,1969-12-31 19:01:24,2014-01-02 08:18:00,"South Van Ness at Market","66",2014-01-02 08:19:00,"Market at 10th","67",535,"Subscriber","94117"
140214,119,1969-12-31 19:01:59,2014-01-02 08:48:00,"Beale at Market","56",2014-01-02 08:50:00,"Temporary Transbay Terminal (Howard at Beale)","55",477,"Subscriber","94110"
140295,142,1969-12-31 19:02:22,2014-01-02 09:29:00,"Temporary Transbay Terminal (Howard at Beale)","55",2014-01-02 09:32:00,"Howard at 2nd","63",337,"Subscriber","94105"
140319,137,1969-12-31 19:02:17,2014-01-02 09:40:00,"2nd at Folsom","62",2014-01-02 09:43:00,"2nd at Townsend","61",485,"Subscriber","94105"
140448,162,1969-12-31 19:02:42,2014-01-02 12:19:00,"Market at 10th","67",2014-01-02 12:22:00,"Civic Center BART (7th at Market)","72",575,"Subscriber","94703"
140525,166,1969-12-31 19:02:46,2014-01-02 13:16:00,"Civic Center BART (7th at Market)","72",2014-01-02 13:19:00,"Market at 10th","67",331,"Subscriber","94703"
140540,140,1969-12-31 19:02:20,2014-01-02 13:36:00,"Market at Sansome","77",2014-01-02 13:38:00,"Beale at Market","56",557,"Subscriber","94611"
140607,152,1969-12-31 19:02:32,2014-01-02 15:13:00,"Post at Kearney","47",2014-01-02 15:16:00,"Howard at 2nd","63",429,"Subscriber","94105"
140622,169,1969-12-31 19:02:49,2014-01-02 15:24:00,"Commercial at Montgomery","45",2014-01-02 15:27:00,"Market at Sansome","77",334,"Subscriber","94117"
140695,159,1969-12-31 19:02:39,2014-01-02 16:13:00,"Arena Green / SAP Center","14",2014-01-02 16:15:00,"Santa Clara at Almaden","4",193,"Subscriber","95113"
140738,88,1969-12-31 19:01:28,2014-01-02 16:33:00,"Broadway at Main","25",2014-01-02 16:34:00,"Redwood City Medical Center","26",13,"Subscriber","94041"
140818,144,1969-12-31 19:02:24,2014-01-02 17:05:00,"Mechanics Plaza (Market at Battery)","75",2014-01-02 17:07:00,"Temporary Transbay Terminal (Howard at Beale)","55",479,"Subscriber","94602"
141150,170,1969-12-31 19:02:50,2014-01-03 06:43:00,"Clay at Battery","41",2014-01-03 06:46:00,"Mechanics Plaza (Market at Battery)","75",601,"Subscriber","94115"
141210,143,1969-12-31 19:02:23,2014-01-03 07:48:00,"Harry Bridges Plaza (Ferry Building)","50",2014-01-03 07:50:00,"Davis at Jackson","42",364,"Subscriber","94965"
141289,128,1969-12-31 19:02:08,2014-01-03 08:36:00,"Beale at Market","56",2014-01-03 08:38:00,"Temporary Transbay Terminal (Howard at Beale)","55",331,"Subscriber","94110"
141329,87,1969-12-31 19:01:27,2014-01-03 08:49:00,"2nd at Folsom","62",2014-01-03 08:51:00,"Howard at 2nd","63",519,"Subscriber","94107"
141335,104,1969-12-31 19:01:44,2014-01-03 08:53:00,"Embarcadero at Bryant","54",2014-01-03 08:55:00,"Spear at Folsom","49",522,"Subscriber","94107"
141357,126,1969-12-31 19:02:06,2014-01-03 09:01:00,"2nd at Folsom","62",2014-01-03 09:03:00,"2nd at South Park","64",471,"Subscriber","94107"
141384,125,1969-12-31 19:02:05,2014-01-03 09:12:00,"San Mateo County Center","23",2014-01-03 09:14:00,"Redwood City Caltrain Station","22",236,"Subscriber","94133"
141475,169,1969-12-31 19:02:49,2014-01-03 10:08:00,"Post at Kearney","47",2014-01-03 10:11:00,"Washington at Kearney","46",381,"Subscriber","94920"
141484,92,1969-12-31 19:01:32,2014-01-03 10:14:00,"2nd at Folsom","62",2014-01-03 10:15:00,"Howard at 2nd","63",400,"Subscriber","95815"
141528,124,1969-12-31 19:02:04,2014-01-03 10:49:00,"Commercial at Montgomery","45",2014-01-03 10:51:00,"Clay at Battery","41",281,"Subscriber","94108"
141531,103760,1970-01-01 23:49:20,2014-01-03 10:50:00,"Spear at Folsom","49",2014-01-04 15:39:00,"Embarcadero at Folsom","51",390,"Customer","94015"
141534,147,1969-12-31 19:02:27,2014-01-03 10:53:00,"2nd at South Park","64",2014-01-03 10:55:00,"2nd at Folsom","62",353,"Subscriber","94501"
141631,160,1969-12-31 19:02:40,2014-01-03 12:18:00,"San Francisco City Hall","58",2014-01-03 12:20:00,"Market at 10th","67",472,"Subscriber","94133"
141640,163,1969-12-31 19:02:43,2014-01-03 12:30:00,"2nd at Folsom","62",2014-01-03 12:33:00,"2nd at South Park","64",353,"Subscriber","94501"
141658,167,1969-12-31 19:02:47,2014-01-03 13:02:00,"Yerba Buena Center of the Arts (3rd @ Howard)","68",2014-01-03 13:05:00,"Post at Kearney","47",430,"Subscriber","94105"
141689,140,1969-12-31 19:02:20,2014-01-03 13:33:00,"Davis at Jackson","42",2014-01-03 13:36:00,"Harry Bridges Plaza (Ferry Building)","50",586,"Subscriber","94108"
141691,159,1969-12-31 19:02:39,2014-01-03 13:37:00,"2nd at Townsend","61",2014-01-03 13:40:00,"San Francisco Caltrain 2 (330 Townsend)","69",396,"Subscriber","94107"
141704,83,1969-12-31 19:01:23,2014-01-03 13:48:00,"Beale at Market","56",2014-01-03 13:49:00,"Temporary Transbay Terminal (Howard at Beale)","55",630,"Subscriber","94105"
141708,116,1969-12-31 19:01:56,2014-01-03 13:50:00,"2nd at Folsom","62",2014-01-03 13:52:00,"2nd at South Park","64",493,"Subscriber","94544"
141736,110,1969-12-31 19:01:50,2014-01-03 14:30:00,"Embarcadero at Folsom","51",2014-01-03 14:31:00,"Spear at Folsom","49",484,"Subscriber","94105"
141805,109,1969-12-31 19:01:49,2014-01-03 15:37:00,"Beale at Market","56",2014-01-03 15:39:00,"Temporary Transbay Terminal (Howard at Beale)","55",557,"Subscriber","94111"
141973,93,1969-12-31 19:01:33,2014-01-03 17:03:00,"Howard at 2nd","63",2014-01-03 17:04:00,"2nd at Folsom","62",600,"Subscriber","94127"
142088,169,1969-12-31 19:02:49,2014-01-03 17:57:00,"Temporary Transbay Terminal (Howard at Beale)","55",2014-01-03 18:00:00,"Embarcadero at Folsom","51",636,"Subscriber","94107"
142103,166,1969-12-31 19:02:46,2014-01-03 18:02:00,"Temporary Transbay Terminal (Howard at Beale)","55",2014-01-03 18:05:00,"Beale at Market","56",557,"Subscriber","94110"
142285,160,1969-12-31 19:02:40,2014-01-04 08:03:00,"Harry Bridges Plaza (Ferry Building)","50",2014-01-04 08:06:00,"Davis at Jackson","42",625,"Subscriber","94111"
142330,116,1969-12-31 19:01:56,2014-01-04 10:01:00,"Spear at Folsom","49",2014-01-04 10:03:00,"Embarcadero at Bryant","54",446,"Subscriber","94105"
142336,156,1969-12-31 19:02:36,2014-01-04 10:10:00,"Embarcadero at Bryant","54",2014-01-04 10:12:00,"Embarcadero at Folsom","51",522,"Subscriber","94107"
142357,159,1969-12-31 19:02:39,2014-01-04 10:47:00,"Embarcadero at Vallejo","48",2014-01-04 10:49:00,"Harry Bridges Plaza (Ferry Building)","50",591,"Subscriber","94618"
142426,152,1969-12-31 19:02:32,2014-01-04 12:08:00,"2nd at Folsom","62",2014-01-04 12:10:00,"2nd at South Park","64",336,"Subscriber","94105"
142657,141,1969-12-31 19:02:21,2014-01-04 17:31:00,"Davis at Jackson","42",2014-01-04 17:33:00,"Harry Bridges Plaza (Ferry Building)","50",518,"Subscriber","94111"
142699,98,1969-12-31 19:01:38,2014-01-04 19:23:00,"2nd at South Park","64",2014-01-04 19:25:00,"2nd at Townsend","61",501,"Subscriber","94107"
142716,170,1969-12-31 19:02:50,2014-01-04 19:46:00,"2nd at Folsom","62",2014-01-04 19:48:00,"Market at Sansome","77",416,"Subscriber","94107"
142759,148,1969-12-31 19:02:28,2014-01-05 01:08:00,"Post at Kearney","47",2014-01-05 01:10:00,"Howard at 2nd","63",526,"Subscriber","94107"
142813,132,1969-12-31 19:02:12,2014-01-05 10:20:00,"Howard at 2nd","63",2014-01-05 10:22:00,"Yerba Buena Center of the Arts (3rd @ Howard)","68",526,"Subscriber","94105"
142821,108,1969-12-31 19:01:48,2014-01-05 10:35:00,"Washington at Kearney","46",2014-01-05 10:37:00,"Commercial at Montgomery","45",524,"Customer","94117"
142856,109,1969-12-31 19:01:49,2014-01-05 11:36:00,"Steuart at Market","74",2014-01-05 11:38:00,"Embarcadero at Folsom","51",432,"Subscriber","94609"
142933,115,1969-12-31 19:01:55,2014-01-05 13:05:00,"Embarcadero at Folsom","51",2014-01-05 13:07:00,"Steuart at Market","74",522,"Subscriber","94609"
142947,86,1969-12-31 19:01:26,2014-01-05 13:21:00,"2nd at Folsom","62",2014-01-05 13:23:00,"Howard at 2nd","63",416,"Subscriber","94105"
143093,169,1969-12-31 19:02:49,2014-01-05 17:11:00,"Embarcadero at Folsom","51",2014-01-05 17:13:00,"Embarcadero at Bryant","54",437,"Subscriber","94105"
143190,146,1969-12-31 19:02:26,2014-01-05 21:16:00,"Embarcadero at Folsom","51",2014-01-05 21:18:00,"Embarcadero at Bryant","54",290,"Subscriber","94105"
143202,107,1969-12-31 19:01:47,2014-01-06 04:37:00,"Howard at 2nd","63",2014-01-06 04:39:00,"Market at Sansome","77",392,"Subscriber","94105"
143272,137,1969-12-31 19:02:17,2014-01-06 07:21:00,"Temporary Transbay Terminal (Howard at Beale)","55",2014-01-06 07:24:00,"Howard at 2nd","63",449,"Subscriber","94602"
